king.,KING HENRY the Sixth
glou.,DUKE OF GLOUCESTER
bed.,DUKE OF BEDFORD
exe.,THOMAS BEAUFORT
win., HENRY BEAUFORT
car., HENRY BEAUFORT
som.,JOHN BEAUFORT
york.,RICHARD PLANTAGENET
plan.,RICHARD PLANTAGENET
war.,EARL OF WARWICK
sal.,EARL OF SALISBURY
suf.,EARL OF SUFFOLK
tal.,LORD TALBOT
john.,JOHN TALBOT
mor.,EDMUND MORTIMER
fast.,SIR JOHN FASTOLFE
lucy.,SIR WILLIAM LUCY
glan.,SIR WILLIAM GLANSDALE
gar.,SIR THOMAS GARGRAVE
may.,Mayor of London
woodv.,WOODVILLE
ver.,VERNON
bas.,BASSET
law.,A Lawyer
char.,CHARLES
reig.,REIGNER
bur.,DUKE OF BURGUNDY
alen.,DUKE OF ALENCON
bast.,BASTARD OF ORLEANS
m.-gun.,Master-Gunner of Orleans
boy.,his Son
gen.,General of the French forces in Bourdeaux
serg.,A French Sergeant
port.,A Porter
shep.,An Old Shepherd
mar.,MARGARET
count.,COUNTESS OF AUVERGNE
puc.,JOAN LA PUCELLE
first-gaol.,First Gaoler
serv.,Servant
first-serv.,First Servant
sec.-serv.,Second Servant
third-serv.,Third Servant
watch.,Watch
first-warder.,First Warder of the Tower
second-warder.,Second Warder of the Tower
leg.,Legate
all.,All
sent.,Sentinel
first-sent.,First Sentinel
scout.,Scout
off., Officers
cap.,Captain
soldiers., Soldiers
sold.,Soldier
first-sol.,First Soldier
mess., Messengers
king.,KING HENRY the Sixth
glou.,HUMPHREY
car.,CARDINAL BEAUFORT
york.,RICHARD PLANTAGENET
edw.,EDWARD
rich.,RICHARD
som.,DUKE OF SOMERSET
suf.,DUKE OF SUFFOLK
buck.,DUKE OF BUCKINGHAM
clif.,LORD CLIFFORD
y.-clif.,Young CLIFFORD
sal.,EARL OF SALISBURY
war.,EARL OF WARWICK
scales.,LORD SCALES
say.,LORD SAY
staf.,SIR HUMPHREY STAFFOR
bro.,WILLIAM STAFFORD
stan.,SIR JOHN STANLEY
vaux.,VAUX
cap.,A Sea-captain
mast.,Master
mate.,Master's-Mate
whit.,WALTER WHITMORE
first-gent.,First Gentleman
sec.-gent.,Second Gentleman
hume.,JOHN HUME
boling.,BOLINGBROKE
hor.,THOMAS HORNER
peter.,PETER
clerk.,Clerk of Chatham.
may.,Mayor of Saint Alban's.
simp.,SIMPCOX
iden.,ALEXANDER IDEN
cade.,JACK CADE
geo.,GEORGE BEVIS
bevis.,GEORGE BEVIS
holl.,JOHN HOLLAND
dick.,DICK the butcher
smith.,SMITH the weaver
mich.,MICHAEL
first-mur.,First Murderer
sec.-mur.,Second Murderer
queen,MARGARET
duch.,ELEANOR
m.-jourd.,MARGARET JOURDAIN
wife.,Wife to Simpcox
first-petit.,First Petitioner
sec.-petit.,Second Petitioner
first-neigh.,First Neighbor
sec.-neigh.,Second Neighbor
third-neigh.,Third Neighbor
first-pren.,First 'Prentice
sec.-pren.,Second 'Prentice
commons.,Commons
all.,All
first-cit.,First Citizen
post.,A Post
bead., a Beadle
sher., Sheriff
mess., Messengers
towns.,Townsmen
her., a Herald
both.,Sal and War together
serv.,Servant
sold., Soldiers
spir.,A Spirit
k.-hen.,KING HENRY the Sixth
prince.,EDWARD
k.-lew.,LEWIS XI.
som.,DUKE OF SOMERSET
exe.,DUKE OF EXETER
oxf.,EARL OF OXFORD
north.,EARL OF NORTHUMBERLAND
west.,EARL OF WESTMORELAND
clif.,LORD CLIFFORD
york.,RICHARD PLANTAGENET
edw.,EDWARD
k.-edw.,EDWARD
rut.,EDMUND
geo.,GEORGE
clar.,GEORGE
rich.,RICHARD
glou.,RICHARD
norf.,DUKE OF NORFOLK
mont.,MARQUESS OF MONTAGUE
war.,EARL OF WARWICK
hast.,LORD HASTINGS
sir-john.,SIR JOHN MORTIMER
riv.,LORD RIVERS
tut.,Tutor to Rutland
may.,Mayor of York
lieu.,Lieutenant of the Tower
nob.,A Nobleman
first-keep.,First Keeper
sec.-keep.,Second Keeper
hunt.,A Huntsman
son.,A Son that has killed his father
fath.,A Father that has killed his son
q.-mar.,QUEEN MARGARET
l.-grey.,LADY GREY
bona.,BONA
soldiers.,Soldiers
sold.,Soldier
first-mess.,First Messenger
second-mess.,Second  Messenger
mess.,Messenger
first-watch.,First Watchman
second-watch.,Second Watchman
third-watch.,Third Watchman
post.,Post
all,All
d.-pedro.,DON PEDRO
d.-john.,DON JOHN
claud.,CLAUDIO
bene.,BENEDICK
leon.,LEONATO
ant.,ANTONIO
balth.,BALTHASAR
con.,CONRADE
bora.,BORACHIO
friar.,FRIAR FRANCIS
dog.,DOGBERRY
verg.,VERGES
sex.,A Sexton
boy.,A Boy
hero.,HERO
beat.,BEATRICE
marg.,MARGARET
urs.,URSULA
mess.,Messengers
watch., Watch
first-watch.,First Watch
sec.-watch.,Second Watch
a-lord.,A Lord.
ant-26,Mark Antony
ant-32,Octavius Csar
ant-23,M. milius Lepidus
ant-34,Sextus Pompeius
ant-16,Domitius Enobarbus
ant-49,Ventidius
ant-17,Eros
ant-37,Scarus
ant-11,Dercetas
ant-12,Demetrius
ant-33,Philo
ant-25,Mecnas
ant-1,Agrippa
ant-14,Dolabella
ant-35,Proculeius
ant-47,Thyreus
ant-19,Gallus
ant-28,Menas
ant-29,Menecrates
ant-48,Varius
ant-46,Taurus
ant-6,Canidius
ant-43,Silius
ant-18,Euphronius
ant-2,Alexas
ant-27,Mardian
ant-39,Selucus
ant-13,Diomedes
ant-45,A Soothsayer.
ant-10,A Clown.
ant-9,Cleopatra
ant-31,Octavia
ant-8,Charmian
ant-21,Iras
ant-44,Soldiers
ant-30,Messengers
ant-5,Attendants
ant-15,Egyptian
ant-41,Servants
ant-20,Guards
ant-7,Captain
duke-s.,DUKE
duke-f.,FREDERICK
jaq.,JAQUES
ami., AMIENS
le-beau.,LE BEAU
cha.,CHARLES
oli.,OLIVER
jaq.-de-b.,JAQUES
orl.,ORLANDO
adam., ADAM
den.,DENNIS
touch.,Touchstone
sir-oli.,SIR OLIVER MARTEXT
cor.,CORIN
sil.,SILVIUS
will.,"WILLIAM, a country fellow"
hym.,A person representing Hymen
ros.,ROSALIND
cel.,CELIA
phe.,PHEBE
aud.,AUDREY
first-lord.,First Lord
sec.-lord.,Second Lord
for.,Forester
first-page,First Page
sec.-page,Second Page
cor-6,CAIUS MARCIUS
cor-15,Titus Lartius
cor-8,Cominius
cor-20,Menenius Agrippa
cor-31,Sicinius Velutus
cor-13,Junius Brutus
cor-19,Young Marcius
cor-12,A Roman Herald
cor-34,Tullus Aufidius
cor-16,Lieutenant to Aufidius.
cor-9,Conspirators with Aufidius.
cor-7a,A Citizen of Antium.
cor-40,Two Volscian Guards.
cor-39,Volumnia
cor-37,Virgilia
cor-35,Valeria
cor-11,Gentlewoman
cor-1,Adrian
cor-14,Ladies
cor-17,Lords
cor-2,"Aedile, an"
cor-21,Messenger
cor-22,Nicanor
cor-23,"Noble, a"
cor-24,Officers
cor-25,"Patrician, a"
cor-26,"Roman, a"
cor-27,Romans
cor-28,Senators (Roman)
cor-29,Senators (Of Corioles)
cor-30,Servingmen
cor-32,Soldiers
cor-33,Titus Lartius
cor-36,"Velutus, Sicinius"
cor-38,"Volsce, a"
cor-4,"Aufidius, Tullus"
cor-7,Citizens
mach,MACHIAVEL
bara,BARABAS
gove,FERNEZE
caly,CALYMATH
call,CALLAPINE
lodo,DON LODOWICK
math,DON MATHIAS
ithi,ITHAMORE
bosc,DEL BOSCO
fry1,JACOMO
fry2,BARNARDINO
pili,PILIA  BORZA
mer1,Merchant 1
mer2,Merchant 2
jew1,Jew 1
jew2,Jew 2
jew3,Jew 3
kni1,Knight 1
kni2,Knight 2
off1,Officer 1
off2,Officer 2
read,Reader
mess,Messenger
carp,Carpenter
serv,Servant
slav,Slave
offi,Officer
bass,Basso
abig,ABIGAIL
mate,KATHERINE
abba,ABBESS
curt,BELLAMIRA
king,CHARLES THE NINTH
anjo,Duke of Anjou
nava,King of Navarre
cond,PRINCE OF CONDE
guis,DUKE OF GUISE
card,CARDINAL OF LORRAINE
duma,DUKE DUMAINE
yong,"SON TO THE DUKE OF 
GUISE"
admi,"THE LORD HIGH 
ADMIRAL"
joye,DUKE OF JOYEUX
eper,EPERNOUN
ples,PLESHE
bart,BARTUS
lor1,Lord 1
lor2,Lord 2
gonz,GONZAGO
rete,RETES
moun,MOUNTSORRELL
coss,COSSINS
muge,MUGEROUN
cutp,THE CUTPURSE
lore,LOREINE
sero,SEROUNE
ramu,RAMUS
tale,TALEUS
frie,FRIAR
surg,SURGEON
poth,APOTHECARY
murd1,Murderer 1
murd2,Murderer 2
murd3,Murderer 3
adman,Admirall
capt,Captain
sold,Soldier
prot,Protestant
maid,Maid
mess,Messenger
quee,CATHERINE
marg,MARGARET
old,"THE OLD QUEEN OF 
NAVARRE"
duch,DUCHESS OF GUISE
